Sector,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
METALLURGICAL INDUSTRIES,103.64792,67.43366,177.15579,37.26545,900.30734,660.1985099999999,768.80856,4733.5695,4414.76406,1991.9107199999999,5003.125840000001,8559.18288,7976.2912,3434.1614999999997,2197.00476,2987.00526,9659.28726
MINING,6.0297600000000005,31.093879999999995,48.68034,107.89060000000002,44.57056,32.7598,29.948880000000003,1788.99336,157.10183999999998,827.3536,362.24756,683.5788,314.9216,77.01650000000001,4184.36046,3408.305819999999,373.91524999999996
POWER,408.47056000000003,3612.23136,286.03328999999997,124.47855000000001,194.86140999999998,321.79863,710.9466,3980.4256799999994,4174.32834,6033.37176,5794.18412,7918.204960000001,2914.0991999999997,6449.784,4322.842559999999,5687.1648,7464.7568599999995
NON-CONVENTIONAL ENERGY,0.0,0.0,8.2263,19.0233,5.706110000000001,5.976450000000001,11.03856,236.80931999999999,578.92212,2953.2348799999995,976.8064,2166.79864,6019.4688,2506.2125,3765.9183000000003,5083.03446,5255.40399
COAL PRODUCTION,0.0,0.0,0.0,0.18380000000000002,0.0,40.46278,5.881200000000001,56.68607999999999,1.0117800000000001,0.0,0.0,0.0,0.0,17.907999999999998,0.0,0.0,0.0
PETROLEUM & NATURAL GAS,42.7108,1006.5928299999999,274.75842,370.54080000000005,461.79053999999996,53.52243000000001,396.80003999999997,5656.69104,1606.38471,1259.6743199999999,2535.09508,9727.66416,1168.5120000000002,678.9915,6597.12828,674.3689199999999,1209.9428
BOILERS AND STEAM GENERATING PLANTS,0.0,0.0,0.0,0.18380000000000002,2.42622,0.0,14.974440000000001,6.07926,0.0,18.78624,2.87028,152.33768,109.072,1.0285,8.131620000000002,509.99886,361.57436999999993
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),0.0,0.0,0.0,0.0,11.95138,3.2759799999999997,115.67868000000001,163.17378,344.37312,187.38799999999998,758.30064,1503.49,1004.2239999999999,1287.319,1410.4998,1041.66498,1924.1041599999996
ELECTRICAL EQUIPMENTS,364.34368000000006,313.60944,167.96169,336.35400000000004,437.6182,174.86650000000003,347.6694,2631.9572399999997,1919.3926500000002,3454.91288,701.1684,2714.14088,1065.5328,812.5755,3514.51062,2912.1844799999994,14961.237829999998
COMPUTER SOFTWARE & HARDWARE,1043.28552,2000.07091,1520.60736,1692.4304,2371.8547,6020.58719,11822.70492,5564.938499999999,7097.82066,4136.10384,3552.8143599999994,3816.1092000000003,2643.6223999999997,6813.933499999999,14037.988560000002,38649.940559999995,24492.018969999997
ELECTRONICS,38.097120000000004,59.46943,1431.76332,378.21445000000006,395.83329999999995,181.10857000000001,190.64136000000002,547.65678,678.3984899999999,247.35216,272.08432000000005,931.6127200000001,208.0256,802.1090000000002,592.07976,1364.1209399999998,563.18679
TELECOMMUNICATIONS,811.68792,4164.43387,927.1524,397.42154999999997,531.65669,2735.7974600000002,2155.73124,5075.5782,11721.149370000001,12046.249440000001,7583.462000000001,9570.77408,1653.0528,7907.047500000001,17699.66316,8669.5224,37315.668829999995
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),372.29200000000003,21.65126,176.6235,63.043400000000005,44.25605,247.60211000000004,342.46680000000003,1161.46074,3380.44896,2328.49752,1877.5731600000004,3239.2003200000004,2197.9776,2592.546,1558.82544,6607.139639999999,10172.37276
AUTOMOBILE INDUSTRY,892.26744,1124.33944,2032.18644,547.21855,548.01121,619.4701100000001,1179.49728,2641.4586,5288.98797,5864.95976,5920.11196,4422.968080000001,8362.803199999998,9179.544,16664.56296,16540.56372,10793.709239999998
AIR TRANSPORT (INCLUDING AIR FREIGHT),0.0,0.0,18.3882,4.3193,18.466230000000003,45.465289999999996,281.79996,398.89608,282.24063,112.48024000000001,622.3496,149.60624,86.44160000000001,277.99750000000006,455.85983999999996,2364.7425,559.3638
SEA TRANSPORT,11.008880000000001,94.47389,141.87948,100.86025000000001,166.01635000000002,237.42001000000005,328.08047999999997,516.77736,230.91579000000002,1351.3283999999999,1369.12356,619.8931200000001,351.5328,123.9645,2037.30708,2810.1978,4930.047419999999
PORTS,0.0,73.82412,9.82317,534.6742,58.58872,2.2135000000000002,0.0,3696.5926799999993,2267.99685,310.30503999999996,49.751520000000006,0.0,0.0,1.8755,11.6166,0.0,0.0
RAILWAY RELATED COMPONENTS,0.0,0.0,2.7098400000000002,13.555250000000001,48.29975,100.13874000000001,116.80968,49.96266,82.82799000000001,163.33592,321.92696,202.55784000000003,162.38400000000001,1433.4265,793.16922,484.3385399999999,587.3319899999999
INDUSTRIAL MACHINERY,25.03264,152.79876,93.8766,14.612100000000002,39.94277,189.47560000000001,117.44304000000002,481.38881999999995,508.3734600000001,1621.87872,2131.8435200000004,2974.20272,2740.8352,2888.149,4382.45406,3719.82996,2208.6151
MACHINE TOOLS,6.48656,20.554389999999998,68.56863,250.47345,49.60271999999999,101.821,168.65472000000003,228.95861999999997,209.99034,634.88952,52.98628000000001,612.75304,551.5616,390.34599999999995,147.10284,827.2834799999998,160.23022999999998
AGRICULTURAL MACHINERY,16.62752,4.95976,65.22972,218.4463,0.0,410.42717000000005,113.95956000000001,27.054719999999996,25.61643,8.918719999999999,2.23244,13.273840000000002,519.0304,295.119,442.3478999999999,107.61623999999999,101.87932999999998
EARTH-MOVING MACHINERY,0.0,0.52459,66.63302999999999,0.045950000000000005,0.44930000000000003,225.20149,4.47876,273.52644,10.43973,74.10128,8.064119999999999,78.58879999999999,27.744,208.362,184.09254,639.2823599999999,350.30661
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,203.276,292.8166,218.09373,104.44435000000001,57.64519,226.75093999999999,382.00656,850.0899,654.48369,709.65496,495.1005200000001,6207.2692799999995,486.608,1743.1864999999998,1141.42266,1797.3352199999997,1644.8246799999997
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",55.72959999999999,23.225029999999997,11.27487,47.83395,63.486090000000004,113.06558,24.52008,39.575579999999995,58.08537000000001,374.68112,114.44672,139.15968,132.3552,127.8365,204.14646,240.10728,49.900079999999996
MEDICAL AND SURGICAL APPLIANCES,24.75856,201.96715,104.66757,9.052150000000001,24.03755,6.72904,60.75732000000001,53.02242,346.85658,793.9083999999999,146.79432,678.5951200000002,451.62879999999996,1049.5539999999999,892.2160200000001,1134.1599599999997,3217.4149699999994
INDUSTRIAL INSTRUMENTS,4.6136800000000004,24.178829999999998,6.339090000000001,1.3785,4.85244,1.68226,0.0,8.977979999999999,80.39052000000001,36.101839999999996,116.08688,19.12008,3.1552,3.2065000000000006,5.1969,48.57132,5.3656
SCIENTIFIC INSTRUMENTS,36.86376,11.11177,0.9194100000000001,0.09190000000000001,0.13479,0.44270000000000004,0.31668,0.0,3.81717,0.0,11.344440000000002,33.92736,398.6432,272.734,197.72676,41.63256,514.1586199999999
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11302,0.0,0.0,0.0,0.0,36.5024,0.0,0.0,0.0,0.0
FERTILIZERS,0.0,0.0,79.26282,99.1601,60.47578000000001,18.770480000000003,22.66524,7.850699999999999,615.11625,38.90079999999999,82.82808,156.21920000000003,231.47199999999998,124.93249999999998,1377.60648,137.00777999999997,5.96923
CHEMICALS (OTHER THAN FERTILIZERS),507.68752000000006,415.99987,619.9726800000001,93.00280000000001,311.76927,1716.4364400000002,628.1573999999999,940.8761999999999,2994.9607800000003,1736.0193599999998,10726.646400000001,19363.08232,1589.3504,4759.897999999999,4663.514639999999,9622.2927,9341.5096
PHOTOGRAPHIC RAW FILM AND PAPER,0.0,0.0,2.9034,1.1028,27.67688,0.0,12.71244,220.86636,4.828950000000001,0.0,3.6903600000000005,0.0,0.0,0.0,4.585500000000001,0.0,0.0
DYE-STUFFS,4.7964,0.85842,0.0,1.97585,5.30174,0.0,0.0,22.183259999999997,5.38083,19.070879999999995,24.46572,2.7793599999999996,0.0,0.0,335.59746,21.732719999999997,71.76489999999998
DRUGS & PHARMACEUTICALS,164.17392,371.69586,193.89873,500.44145,1318.06648,763.39188,1014.2807999999999,1370.2491,19530.849240000003,1010.8515199999999,953.93528,15489.085760000002,6111.6224,7740.007,9157.18236,4937.38596,5750.514729999999
"TEXTILES (INCLUDING DYED,PRINTED)",9.41008,25.180320000000002,262.17701999999997,42.9173,193.37872,417.59891,574.0956,746.4204,724.4344800000001,712.8808799999999,590.6854000000001,786.79848,565.1616,1203.103,1207.02588,1506.4309799999999,4151.2976499999995
PAPER AND PULP (INCLUDING PAPER PRODUCTS),274.26272,79.64229999999999,35.61504000000001,32.85425,12.1311,121.21126,22.981920000000002,125.77223999999998,1253.27349,77.89648000000001,29.75068,1952.0212000000004,27.689599999999995,162.503,710.50794,557.7846599999999,1325.37027
SUGAR,0.0,0.0,19.21083,0.0,13.20942,13.281,44.5614,40.54182,23.04099,0.4744,0.7745200000000001,21.276480000000003,66.6944,18.634,169.78578,692.8940999999999,106.77543999999997
FERMENTATION INDUSTRIES,73.17936,52.64975999999999,39.05073,7.8115000000000006,624.5269999999999,751.8374100000001,124.77192,1087.2213,665.4753,531.42288,262.92676,334.0024,583.2223999999999,4928.209000000001,1377.97332,1324.64856,743.53802
FOOD PROCESSING INDUSTRIES,208.98600000000002,1046.2709099999997,178.46232000000003,501.86590000000007,197.60214,184.78298,461.44800000000004,282.50442,472.36328999999995,1323.05416,859.5805200000001,815.6463200000001,2183.9424,24096.4845,3153.96804,3311.4904799999995,4877.464539999999
VEGETABLE OILS AND VANASPATI,0.0,0.0,0.0,7.76555,40.84137,54.49637,73.37928,6.15978,197.20512000000002,330.84655999999995,264.56692000000004,311.57583999999997,589.6416,130.3775,906.9507600000001,224.00411999999997,727.3741499999999
"SOAPS, COSMETICS & TOILET PREPARATIONS",0.0,0.0,0.0,0.0,3.9987700000000004,387.00834000000003,27.324959999999997,25.685879999999997,101.31597000000001,116.60751999999998,468.8124000000001,1064.20736,870.7807999999999,656.062,1083.52308,1265.0799599999998,621.0681999999999
RUBBER GOODS,0.45680000000000004,221.23391,79.45638000000001,29.27015,179.98958,150.91643000000005,84.825,60.87311999999999,390.36312,114.42528,78.40876,897.8770400000001,3493.4592,2241.7670000000003,1739.49414,1938.5978999999995,1762.3313199999998
"LEATHER,LEATHER GOODS AND PICKERS",44.538,0.9538,0.04839,34.69225,1.9769200000000002,4.913970000000001,37.36824,30.033959999999997,15.26868,24.00464,42.18856,39.7736,254.048,37.147,209.15994,112.13297999999998,15.426099999999996
GLUE AND GELATIN,0.0,4.48286,25.25958,0.0,0.0,0.0,0.0,9.179279999999999,0.0,1.28088,0.04556,27.98528,0.0,5.868499999999999,131.08416000000003,5.367719999999999,607.6541999999998
GLASS,154.71815999999998,39.916529999999995,217.65821999999997,24.077800000000003,37.561479999999996,3.585870000000001,6.469320000000001,44.447039999999994,106.51284000000001,13.42552,34.625600000000006,154.39824000000002,1137.8304,260.6945,255.68748,168.75588,346.68483
CERAMICS,18.40904,3.71982,1.01619,6.754650000000001,120.36747,25.101090000000003,552.9685200000001,463.43286,912.5795700000001,34.20424,54.672000000000004,47.297039999999996,23.5552,908.0445,215.76306,335.22065999999995,103.28779999999999
CEMENT AND GYPSUM PRODUCTS,309.34496,667.1831,102.00612,44.0201,0.7188800000000001,2001.3581600000002,1096.93428,67.99914,3333.3551999999995,160.3472,2905.27008,1283.7768,67.3472,1536.7604999999999,1277.76486,128.89074,14286.580699999997
TIMBER PRODUCTS,0.0,0.23845,0.19356,0.50545,0.31451,1.4609100000000002,0.0,1.5701399999999999,51.83073,31.02576,7.198480000000001,141.8432,158.6848,37.268,54.84258000000001,348.05082,68.61260999999999
DEFENCE INDUSTRIES,0.0,0.0,0.0,0.0,0.22465000000000002,0.0,0.0,0.0,0.0,0.0,0.0,17.53872,2.2304,4.961,0.48912000000000005,0.6546,0.0
CONSULTANCY SERVICES,19.413999999999998,315.80318,124.3623,212.28900000000004,1134.12306,209.83980000000003,518.8123200000001,939.34632,1180.05741,1619.17464,1252.17104,1389.15288,774.2207999999999,1729.3925000000004,2801.00682,3387.35862,1751.4659799999997
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",326.06383999999997,896.33355,1433.9892599999998,1245.9342499999998,2049.48195,2428.6964700000003,21325.14072,28126.320419999996,28437.87051,19803.97032,15016.98604,24994.97616,26291.411199999995,13461.855,27166.09164,45098.405159999995,58244.05748999999
HOSPITAL & DIAGNOSTIC CENTRES,0.0,33.04917,140.96007,110.64759999999998,117.67166999999999,144.01031,172.54536000000002,973.32576,1102.42629,643.1440799999999,1166.336,1487.58056,1397.3184,4141.709000000001,3471.8349000000003,4859.4231,5012.677659999999
EDUCATION,0.0,0.0,0.0,0.8730500000000001,8.85121,13.989320000000001,189.14844000000002,175.49334000000002,986.5774800000002,300.5324,172.85464,506.13104000000004,936.7679999999998,1585.6444999999999,482.15004,1510.6858799999998,1073.92484
HOTEL & TOURISM,60.2976,153.18027999999998,163.31625,226.8092,166.28592999999998,317.77006,885.16584,1696.83822,2133.56808,3572.3268799999996,1403.4758000000002,4757.7851200000005,17729.232,2942.5989999999997,4750.63914,8723.78874,6144.483909999999
TRADING,52.48632,206.35463,184.51107000000002,142.99640000000002,63.890460000000004,128.07310999999999,518.6766,1389.0505199999998,2960.10036,3500.8347999999996,2269.07024,3505.5876,3904.832,8127.5095,16678.74744,25171.464719999996,15683.648799999999
RETAIL TRADING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11302,0.41391,65.13512,119.68612,151.90640000000002,121.3664,68.36500000000001,1031.55408,1716.62304,3024.4545799999996
AGRICULTURE SERVICES,80.03135999999999,67.05214,53.277390000000004,2.71105,17.20819,40.197160000000004,56.68572,234.03137999999998,24.60465,5798.211679999999,200.0084,234.90384000000003,878.3967999999999,550.6105,366.53430000000003,554.1188999999999,512.61601
"DIAMOND,GOLD ORNAMENTS",86.01543999999998,1.71684,6.2907,9.0062,38.54994,68.70704,280.35228,238.1379,384.0165,147.44351999999998,89.25204,173.94959999999998,286.1984,257.488,1713.02052,383.20284,831.1314399999999
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),92.41064,0.66766,0.0,1.4704000000000002,0.044930000000000005,6.33061,28.0488,76.25244,170.53091999999998,38.6636,14.21472,25.49344,1.4688,35.453,8.74302,7.33152,10.7312
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),0.0,0.0,30.485699999999998,0.0,0.26958,43.8273,90.66096,143.08404,145.37439,334.49944,166.88628,227.09288,78.0096,688.369,443.75411999999994,803.9142599999999,356.61118999999997
COIR,0.0,0.0,0.0,0.0,2.1117099999999995,2.61193,0.18096,0.040260000000000004,0.0,1.186,0.4556,2.6356,0.8160000000000001,3.2670000000000003,8.31504,0.0,0.0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,0.0,0.0,0.0,0.0,0.0,4.11711,289.80744000000004,736.4359199999999,794.2473,1539.71264,3075.6189200000003,1851.05376,1544.3615999999997,2936.4885000000004,5320.7085,29527.107659999998,12479.916109999998
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",111.13944,246.79575,174.6879,216.14880000000002,683.20558,1012.49917,6301.705800000001,15650.390579999997,21419.888490000005,25931.32072,7576.76468,15050.617760000003,7248.7456,7417.602499999999,4702.52196,736.7522999999999,705.1739799999999
MISCELLANEOUS INDUSTRIES,3800.8957600000003,1055.71353,1058.57964,1082.0306,547.38219,729.39252,1379.23188,2127.4189199999996,7127.070300000001,5444.02464,6724.519320000001,3897.71696,1248.4256,2835.877,4682.59032,4377.768419999999,1987.9547999999995
